Name,xcoord,ycoord
River,36.868118,0.531319
River,36.867623,0.53058
River,36.86704,0.529773
River,36.866238,0.528746
River,36.865218,0.527791
River,36.864198,0.527204
River,36.863397,0.526397
River,36.862231,0.525809
River,36.861502,0.525662
River,36.860481,0.525735
River,36.859898,0.526249
River,36.859315,0.526395
River,36.858878,0.526102
River,36.85866,0.525368
River,36.858368,0.524487
River,36.857858,0.523533
River,36.85764,0.522799
River,36.85764,0.521699
River,36.857787,0.520672
River,36.857641,0.519498
River,36.857496,0.518544
River,36.857059,0.517663
River,36.856403,0.516709
River,36.855893,0.516269
River,36.854727,0.516122
River,36.854071,0.515828
River,36.853415,0.515241
River,36.85327,0.514654
River,36.853124,0.514287
River,36.852687,0.5137
River,36.852031,0.513333
River,36.852031,0.512452
River,36.852323,0.511645
River,36.852178,0.510691
River,36.852178,0.509664
River,36.85247,0.50871
River,36.852908,0.507316
River,36.852835,0.506583
River,36.852252,0.506362
River,36.851232,0.506068
River,36.850357,0.505334
River,36.849264,0.505407
River,36.848681,0.505627
River,36.847733,0.50592
River,36.846932,0.506067
River,36.84664,0.50636
River,36.84613,0.506874
River,36.845255,0.507387
River,36.845182,0.508194
River,36.8454,0.508928
River,36.845036,0.509808
River,36.844452,0.510102
River,36.84365,0.510688
River,36.842484,0.511422
River,36.841172,0.511715
River,36.839641,0.512228
River,36.838912,0.513035
River,36.837746,0.513768
River,36.836653,0.513694
River,36.836143,0.513254
River,36.835779,0.5123
River,36.835779,0.511346
River,36.836071,0.510319
River,36.835998,0.509585
River,36.835488,0.509438
River,36.834759,0.509731
River,36.833884,0.510465
River,36.833665,0.511198
River,36.833301,0.512079
River,36.83279,0.512079
River,36.832499,0.511492
River,36.831916,0.510831
River,36.831479,0.510317
River,36.830532,0.51039
River,36.829948,0.510537
River,36.828782,0.51061
River,36.827908,0.509876
River,36.827835,0.509142
River,36.828273,0.508335
River,36.828856,0.507235
River,36.829075,0.506501
River,36.829148,0.505621
River,36.829076,0.504373
River,36.829149,0.502906
River,36.829441,0.501585
River,36.830025,0.500412
River,36.830389,0.499751
River,36.830681,0.499018
River,36.830608,0.498504
River,36.829953,0.49799
River,36.828932,0.497917
River,36.827912,0.497696
River,36.8266,0.497989
River,36.824851,0.498429
River,36.823685,0.498649
River,36.823102,0.498502
River,36.822664,0.497988
River,36.822665,0.497401
River,36.822811,0.496447
River,36.82252,0.494906
River,36.82252,0.493512
River,36.822812,0.492705
River,36.822812,0.491605
River,36.822594,0.490504
River,36.822303,0.489477
River,36.822303,0.488523
River,36.822449,0.487423
River,36.894349,0.464818
River,36.894164,0.465514
River,36.89402,0.466189
River,36.894067,0.467831
River,36.893684,0.468845
River,36.8933,0.469714
River,36.893059,0.470824
River,36.893347,0.471645
River,36.893491,0.47208
River,36.89349,0.472804
River,36.893442,0.473335
River,36.893154,0.47377
River,36.892195,0.474349
River,36.891332,0.474928
River,36.890708,0.475652
River,36.89066,0.476424
River,36.890659,0.47739
River,36.890755,0.478645
River,36.890898,0.479611
River,36.890802,0.480528
River,36.890418,0.481108
River,36.889891,0.481977
River,36.888979,0.482845
River,36.888451,0.483425
River,36.888211,0.484197
River,36.888067,0.485211
River,36.887779,0.486225
River,36.887635,0.486997
River,36.887299,0.488059
River,36.887443,0.488446
River,36.887442,0.48917
River,36.887154,0.489701
River,36.886771,0.489846
River,36.886291,0.490328
River,36.885907,0.491004
River,36.885523,0.49168
River,36.884995,0.492452
River,36.88442,0.49308
River,36.884323,0.493997
River,36.884317,0.49458
River,36.884205,0.495202
River,36.883699,0.495824
River,36.883025,0.496219
River,36.882127,0.496389
River,36.880779,0.496219
River,36.879544,0.495992
River,36.877915,0.496105
River,36.877241,0.496444
River,36.877016,0.497122
River,36.877016,0.497857
River,36.877184,0.498196
River,36.877971,0.49814
River,36.878813,0.498423
River,36.87915,0.498875
River,36.87943,0.49944
River,36.879374,0.500345
River,36.879149,0.501475
River,36.878924,0.502323
River,36.878755,0.503228
River,36.878474,0.503963
River,36.877856,0.504245
River,36.877239,0.504358
River,36.876733,0.504923
River,36.876396,0.505827
River,36.876157,0.506309
River,36.876042,0.506807
River,36.876114,0.507354
River,36.876283,0.508032
River,36.876283,0.508597
River,36.876058,0.509049
River,36.875159,0.509954
River,36.874597,0.510632
River,36.873643,0.510858
River,36.871958,0.51097
River,36.870722,0.511026
River,36.869992,0.511535
River,36.869543,0.511874
River,36.868364,0.511986
River,36.867409,0.512212
River,36.866623,0.512834
River,36.865836,0.513795
River,36.865611,0.514529
River,36.865948,0.515264
River,36.866397,0.515999
River,36.866846,0.516848
River,36.866958,0.517922
River,36.866733,0.518769
River,36.866396,0.519165
River,36.86634,0.519787
River,36.86662,0.520409
River,36.867013,0.52137
River,36.867237,0.521992
River,36.867855,0.522614
River,36.868528,0.523462
River,36.868921,0.524084
River,36.868921,0.524423
River,36.86864,0.524875
River,36.868472,0.525158
River,36.868359,0.52578
River,36.868471,0.527023
River,36.868527,0.52855
River,36.868555,0.529375
River,36.868526,0.530189
River,36.86832,0.530752
River,36.912576,0.281112
River,36.912206,0.281464
River,36.911938,0.282122
River,36.911701,0.28248
River,36.911701,0.282929
River,36.911701,0.283377
River,36.911582,0.284094
River,36.911315,0.284573
River,36.910958,0.284991
River,36.910572,0.28538
River,36.910216,0.285439
River,36.909741,0.28517
River,36.909028,0.284991
River,36.908494,0.28508
River,36.908167,0.285499
River,36.9079,0.285977
River,36.907662,0.286605
River,36.907395,0.287113
River,36.906979,0.28768
River,36.906979,0.288218
River,36.907009,0.288517
River,36.907246,0.288846
River,36.907454,0.289026
River,36.907602,0.289384
River,36.907751,0.289863
River,36.90778,0.29049
River,36.90778,0.291088
River,36.907483,0.291746
River,36.907335,0.292433
River,36.907097,0.292911
River,36.90683,0.29333
River,36.906533,0.293808
River,36.905879,0.294465
River,36.905642,0.294913
River,36.905671,0.295451
River,36.905879,0.295691
River,36.906176,0.29593
River,36.906087,0.296318
River,36.905938,0.296587
River,36.90573,0.296976
River,36.90573,0.297364
River,36.905879,0.297902
River,36.906176,0.298261
River,36.906443,0.298979
River,36.906502,0.299576
River,36.90665,0.300114
River,36.906828,0.300294
River,36.907363,0.300533
River,36.907986,0.300563
River,36.908313,0.300862
River,36.908521,0.301101
River,36.908491,0.3014
River,36.908283,0.301579
River,36.908016,0.301759
River,36.907778,0.302117
River,36.907659,0.302506
River,36.907451,0.303044
River,36.907481,0.303582
River,36.90754,0.30415
River,36.907778,0.304479
River,36.908015,0.305256
River,36.90849,0.306063
River,36.908876,0.3069
River,36.909113,0.307259
River,36.909172,0.307737
River,36.909054,0.308096
River,36.908786,0.308753
River,36.90843,0.30953
River,36.908281,0.310068
River,36.908162,0.311114
River,36.907984,0.311742
River,36.907954,0.312519
River,36.907954,0.313117
River,36.908073,0.313625
River,36.908221,0.314223
River,36.908251,0.314791
River,36.908132,0.315657
River,36.908062,0.316266
River,36.908293,0.316941
River,36.908335,0.317068
River,36.908649,0.3173
River,36.909027,0.317532
River,36.909446,0.317596
River,36.909844,0.317596
River,36.910285,0.317807
River,36.910599,0.317976
River,36.910956,0.318441
River,36.911039,0.319074
River,36.910934,0.31939
River,36.910788,0.319686
River,36.910578,0.320002
River,36.910305,0.320108
River,36.909991,0.320066
River,36.909739,0.319812
River,36.909592,0.319432
River,36.909173,0.319369
River,36.908691,0.319559
River,36.908481,0.319939
River,36.908586,0.320382
River,36.908691,0.320804
River,36.908523,0.321184
River,36.90825,0.32148
River,36.907894,0.321944
River,36.907768,0.322366
River,36.907621,0.322999
River,36.9076,0.323654
River,36.907818,0.324514
River,36.90823,0.325153
River,36.908451,0.325983
River,36.908863,0.326589
River,36.908768,0.32694
River,36.908451,0.327227
River,36.908102,0.327578
River,36.907817,0.328057
River,36.907436,0.328855
River,36.907151,0.329557
River,36.907151,0.330355
River,36.906865,0.331248
River,36.906897,0.331599
River,36.907341,0.332174
River,36.907816,0.332525
River,36.908196,0.333419
River,36.90883,0.334153
River,36.909496,0.334568
River,36.910193,0.334919
River,36.911112,0.335462
River,36.911937,0.336005
River,36.912317,0.336356
River,36.912887,0.33725
River,36.913109,0.337729
River,36.913204,0.338303
River,36.913109,0.338878
River,36.912792,0.339324
River,36.912411,0.339612
River,36.912443,0.339931
River,36.912601,0.340346
River,36.912665,0.340984
River,36.912728,0.341941
River,36.912664,0.342675
River,36.912981,0.343154
River,36.913457,0.343569
River,36.913774,0.34392
River,36.914281,0.34408
River,36.914852,0.344368
River,36.915549,0.344751
River,36.916278,0.345325
River,36.916627,0.345708
River,36.917039,0.345964
River,36.91799,0.346092
River,36.918497,0.346124
River,36.918941,0.345932
River,36.919512,0.345518
River,36.920051,0.345007
River,36.920875,0.344369
River,36.921414,0.344082
River,36.921858,0.344018
River,36.92227,0.344178
River,36.92265,0.344497
River,36.923189,0.345135
River,36.923538,0.345646
River,36.923855,0.346604
River,36.924013,0.347529
River,36.924013,0.348168
River,36.923822,0.348934
River,36.9236,0.34954
River,36.923283,0.350402
River,36.922903,0.35088
River,36.922585,0.351487
River,36.922585,0.352061
River,36.922744,0.352348
River,36.923061,0.352572
River,36.923505,0.352923
River,36.923885,0.353402
River,36.924138,0.353817
River,36.924075,0.3542
River,36.923948,0.354583
River,36.923885,0.354998
River,36.924138,0.355253
River,36.924455,0.355636
River,36.924709,0.356051
River,36.925216,0.356466
River,36.925175,0.356885
River,36.925127,0.357561
River,36.925175,0.358334
River,36.925271,0.358913
River,36.92551,0.359734
River,36.925702,0.360651
River,36.925606,0.361858
River,36.925414,0.363307
River,36.925653,0.364031
River,36.926133,0.364369
River,36.927092,0.364659
River,36.927907,0.365094
River,36.928627,0.365529
River,36.928674,0.36606
River,36.928866,0.366398
River,36.929298,0.366591
River,36.929633,0.366977
River,36.929873,0.367653
River,36.929633,0.368329
