"","gridID","Patrol.ID","Type","Patrol.Start.Date","Patrol.End.Date","Station","Team","Mandate","Armed","Patrol.Leg.ID","Leader","Patrol.Transport.Type","Waypoint.ID","Waypoint.Date","Waypoint.Time","Last.Modified","Last.Modified.By","Observation.Category.0","Observation.Category.1","Position.Type","Species","Total.number","river_distance","road_distance","water_distance","Number","Dam","North","East","Elevation","Storage.Estimate","Description","Estimated.Class","Permit.Needed","Freeboard..m.","Width..m.","Fetch..m.","Spillway.Width..m.","Height..m.","Water.Depth..m.","Approximate.Volume..m.3."
"1",166,"SMART_001991","Ground","21-Feb-20","21-Feb-20","Mlima Ndege","Mpala","Research","No",1,"Yairo Manyaas","Vehicle",2,"21-Feb-20","10:47:59","3/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",3,2074.92804840088,205.04567094028,4271.84190490723,2,"Top Dam",34483,264512,"1765","9,792","Straight Earth Wall, Spillway to Right when Facing D/S, Small Island, ","A/B","1.5",130,167,25,4.2,2.7,"9,792",""
"2",166,"SMART_001991","Ground","21-Feb-20","21-Feb-20","Mlima Ndege","Mpala","Research","No",1,"Yairo Manyaas","Vehicle",2,"21-Feb-20","10:47:59","3/4/20 7:33","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",10,2074.92804840088,205.04567094028,4271.84190490723,2,"Top Dam",34483,264512,"1765","9,792","Straight Earth Wall, Spillway to Right when Facing D/S, Small Island, ","A/B","1.5",130,167,25,4.2,2.7,"9,792",""
"3",252,"SMART_001919","Ground","9-Feb-20","9-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",7,"9-Feb-20","17:11:17","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Grant's Gazelle",2,1296.87163238525,157.578276647925,2831.55501708984,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"4",257,"SMART_002066","Ground","6-Mar-20","6-Mar-20","MRC","NPR 1","Security","No",1,"Samwel Loroti","Foot",3,"6-Mar-20","10:02:56","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",9,467.2542527771,143.173638016284,2277.80632141113,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"5",257,"SMART_002066","Ground","6-Mar-20","6-Mar-20","MRC","NPR 1","Security","No",1,"Samwel Loroti","Foot",4,"6-Mar-20","10:05:04","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",6,467.2542527771,143.173638016284,2277.80632141113,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"6",257,"SMART_002066","Ground","6-Mar-20","6-Mar-20","MRC","NPR 1","Security","No",1,"Samwel Loroti","Foot",4,"6-Mar-20","10:05:04","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Impala",10,467.2542527771,143.173638016284,2277.80632141113,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"7",258,"SMART_001916","Ground","6-Feb-20","6-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",3,"6-Feb-20","7:39:51","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Plains Zebra",2,389.058312797546,69.1708489865065,2345.37719970703,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"8",258,"SMART_001916","Ground","6-Feb-20","6-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",3,"6-Feb-20","7:39:51","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",1,389.058312797546,69.1708489865065,2345.37719970703,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"9",258,"SMART_001916","Ground","6-Feb-20","6-Feb-20","Mlima Ndege","Mpala","Security","No",1,"Yairo Manyaas","Vehicle",2,"6-Feb-20","7:38:04","2/11/20 7:59","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",2,389.058312797546,69.1708489865065,2345.37719970703,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
"10",258,"SMART_002066","Ground","6-Mar-20","6-Mar-20","MRC","NPR 1","Security","No",1,"Samwel Loroti","Foot",2,"6-Mar-20","9:52:30","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Vulturine guinea fowl",23,389.058312797546,69.1708489865065,2345.37719970703,1,"Small High Dam",34644,264155,"1772","3,568","Straight Earth Wall, Spillway to Left when facing D/S.  Requires Dessilting","A","1",124,100,10,2.7,1.7,"3,568",""
