Patrol.ID,Type,Patrol.Start.Date,Patrol.End.Date,Station,Team,Mandate,Armed,Patrol.Leg.ID,Leader,Patrol.Transport.Type,Waypoint.ID,Waypoint.Date,Waypoint.Time,X,Y,Last.Modified,Last.Modified.By,Observation.Category.0,Observation.Category.1,Position.Type,Species,Total.number
SMART_001969,Ground,10-Feb-20,10-Feb-20,MRL,NPR 1,Security,No,1,Wilfred Nyausi,Vehicle,20,10-Feb-20,15:18:42,263837.1553,36791.50575,3/2/20 7:40,David Hewett,Wildlife Sightings,Live animals,NA,Plains Zebra,25
SMART_001969,Ground,10-Feb-20,10-Feb-20,MRL,NPR 1,Security,No,1,Wilfred Nyausi,Vehicle,20,10-Feb-20,15:18:42,263837.1553,36791.50575,3/2/20 7:40,David Hewett,Wildlife Sightings,Live animals,NA, Warthog,3
SMART_001969,Ground,10-Feb-20,10-Feb-20,MRL,NPR 1,Security,No,1,Wilfred Nyausi,Vehicle,20,10-Feb-20,15:18:42,263837.1553,36791.50575,3/2/20 7:40,David Hewett,Wildlife Sightings,Live animals,NA,Impala,11
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,6,9-Feb-20,11:26:46,266125.047,38678.69479,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA,Giraffe,4
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,8,9-Feb-20,18:16:50,267103.9434,35382.96136,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA, Elephant,2
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,2,9-Feb-20,10:06:00,264660.4833,37213.56654,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA,Giraffe,2
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,7,9-Feb-20,17:11:17,262539.0385,32103.79617,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA,Grant's Gazelle,2
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,3,9-Feb-20,10:09:16,263993.5931,36980.01473,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA,Giraffe,6
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,4,9-Feb-20,10:18:57,262541.9887,36850.95723,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA, Warthog,3
SMART_001919,Ground,9-Feb-20,9-Feb-20,Mlima Ndege,Mpala,Security,No,1,Yairo Manyaas,Vehicle,5,9-Feb-20,11:20:56,266059.7664,39359.09841,2/11/20 7:59,David Hewett,Wildlife Sightings,Live animals,NA,Grevy's Zebra,9
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,8,20-Jan-20,16:59:46,264395.5407,54813.84337,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Impala,25
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,8,20-Jan-20,16:59:46,264395.5407,54813.84337,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Baboon,68
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,8,20-Jan-20,16:59:46,264395.5407,54813.84337,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Grevy's Zebra,6
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,4,20-Jan-20,12:08:54,262617.484,44945.51446,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Giraffe,1
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,11,20-Jan-20,18:39:09,261371.9712,52078.78157,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Giraffe,10
SMART_001906,Ground,20-Jan-20,20-Jan-20,Kiberen/Soit,Kipren ,Research,No,1,David Katarua,Motorbike,6,20-Jan-20,12:22:57,262190.6665,48148.65537,2/5/20 9:17,David Hewett,Wildlife Sightings,Live animals,NA,Plains Zebra,26
